City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,upernavik,72.7868,-56.1549,-19.44,66,85,2.76,GL,1675043108
83,coquimbo,-29.9533,-71.3436,16.85,88,0,3.6,CL,1675043090
84,pochutla,15.7432,-96.4661,26.01,73,0,1.87,MX,1675043108
85,norman wells,65.282,-126.8329,-8.98,73,75,4.63,CA,1675043109
86,mwinilunga,-11.7358,24.4293,15.3,96,100,1.16,ZM,1675043110
87,georgetown,5.4112,100.3354,27.96,76,20,1.54,MY,1675042812
88,pathein,16.7833,94.7333,23.67,57,82,1.85,MM,1675043111
89,barrow,71.2906,-156.7887,-20.99,84,100,5.14,US,1675043112
90,busselton,-33.65,115.3333,26.73,40,43,4.33,AU,1675043113
91,shatoy,42.8714,45.6886,3.54,79,100,0.93,RU,1675043114
92,cabo san lucas,22.8909,-109.9124,20.28,80,63,4.13,MX,1675043115
93,zhangjiakou,40.81,114.8794,-4.34,39,0,0.38,CN,1675043115
94,watertown,42.3709,-71.1828,10.16,61,100,5.66,US,1675042848
95,kysyl-syr,63.8986,122.7617,-41.23,99,99,1.91,RU,1675043117
96,lagoa,39.05,-27.9833,14.41,72,100,6.27,PT,1675043117
97,katherine,-14.4667,132.2667,30.18,62,75,2.57,AU,1675043118
98,hobart,-42.8794,147.3294,25.03,49,20,3.6,AU,1675043104
99,narsaq,60.9167,-46.05,-12.88,71,100,3.57,GL,1675043119
100,pangody,65.85,74.4859,-25.7,98,100,3.06,RU,1675043120
101,mahon,39.8885,4.2658,8.31,81,40,5.14,ES,1675043121
102,port elizabeth,-33.918,25.5701,17.4,71,40,2.06,ZA,1675043122
103,karlshamn,56.1706,14.8619,4.27,95,100,9.27,SE,1675043122
104,jurado,7.1053,-77.7641,24.65,87,100,1.45,CO,1675043123
105,kodiak,57.79,-152.4072,3.73,100,100,3.6,US,1675043123
106,gazli,40.1333,63.45,0.52,78,100,4.28,UZ,1675043125
107,torbay,47.6666,-52.7314,-2.46,70,20,3.6,CA,1675043125
108,sisimiut,66.9395,-53.6735,-8.94,80,100,3.24,GL,1675043126
109,kuusamo,65.9667,29.1833,-3.98,93,100,5.66,FI,1675043126
110,esperance,-33.8667,121.9,24.83,43,3,0.29,AU,1675042831
111,quang ngai,15.1167,108.8,17.13,84,100,3.28,VN,1675043127
112,sao joao da barra,-21.6403,-41.0511,25.19,86,100,9.07,BR,1675043128
113,vestmannaeyjar,63.4427,-20.2734,0.14,75,24,7.11,IS,1675043128
114,tautira,-17.7333,-149.15,27.08,73,0,4.23,PF,1675043118
115,souillac,-20.5167,57.5167,23.21,94,20,1.54,MU,1675043129
116,estelle,29.8458,-90.1067,22.22,92,100,2.06,US,1675043129
117,houma,29.5958,-90.7195,22.22,93,100,2.24,US,1675043130
118,betafo,-19.8333,46.85,15.23,92,56,1.08,MG,1675043130
119,pamanukan,-6.2842,107.8106,26.2,82,100,3.96,ID,1675043046
120,sitka,57.0531,-135.33,3.94,75,75,1.54,US,1675043131
121,bambous virieux,-20.3428,57.7575,25.12,94,20,1.54,MU,1675043132
122,codrington,-38.2667,141.9667,19.58,53,100,5.46,AU,1675043132
123,shelburne,44.0787,-80.2041,-8.2,92,91,3.51,CA,1675043133
124,volokonovka,50.4827,37.8563,-4.84,84,59,1.54,RU,1675043133
125,cape town,-33.9258,18.4232,20.21,64,0,6.26,ZA,1675042522
126,egvekinot,66.3167,-179.1667,-7.38,72,100,7.6,RU,1675043134
127,chuy,-33.6971,-53.4616,21.44,83,44,3.93,UY,1675043024
128,tupelo,34.2576,-88.7034,11.16,87,100,4.12,US,1675043135
129,victoria,22.2855,114.1577,17.19,41,6,1.34,HK,1675043010
130,waingapu,-9.6567,120.2641,29.65,71,32,2.59,ID,1675043136
131,nouakchott,18.0858,-15.9785,15.96,48,99,5.05,MR,1675043136
132,portland,45.5234,-122.6762,1.58,36,0,5.81,US,1675042769
133,de-kastri,51.4667,140.7833,-20.38,82,13,2.4,RU,1675043137
134,avera,33.194,-82.5271,9.65,97,100,2.1,US,1675043138
135,sao filipe,14.8961,-24.4956,21.34,69,93,6.49,CV,1675043138
136,sumbawanga,-7.9667,31.6167,17.89,88,20,0.0,TZ,1675043139
137,severo-kurilsk,50.6789,156.125,-2.94,80,100,17.74,RU,1675043140
138,pacific grove,36.6177,-121.9166,10.82,78,20,3.6,US,1675043140
139,araouane,18.9048,-3.5265,12.8,17,64,3.29,ML,1675043141
140,elizabeth city,36.2946,-76.2511,14.01,71,0,2.7,US,1675043027
141,quatre cocos,-20.2078,57.7625,25.05,84,100,1.96,MU,1675043141
142,rio gallegos,-51.6226,-69.2181,16.03,59,75,2.06,AR,1675043142
143,the valley,18.217,-63.0578,24.92,76,15,9.23,AI,1675043142
144,qaqortoq,60.7167,-46.0333,-7.36,72,100,3.78,GL,1675043143
145,hithadhoo,-0.6,73.0833,27.33,74,100,4.09,MV,1675043143
146,ketchikan,55.3422,-131.6461,2.99,69,0,2.57,US,1675043011
147,qasigiannguit,68.8193,-51.1922,-6.86,69,100,4.34,GL,1675043144
148,bahia de caraquez,-0.6,-80.4167,27.1,83,61,3.84,EC,1675043145
149,general pico,-35.6566,-63.7568,22.31,48,96,3.62,AR,1675043145
150,caxito,-8.5785,13.6643,24.81,88,100,0.69,AO,1675043146
151,gladstone,-23.85,151.25,29.96,54,34,3.6,AU,1675043146
152,ahuimanu,21.4447,-157.8378,22.84,89,100,5.14,US,1675043147
153,terrace,54.5163,-128.6035,-3.05,50,20,5.14,CA,1675042879
154,shu,43.5983,73.7614,-12.92,92,38,1.15,KZ,1675043148
155,avarua,-21.2078,-159.775,23.03,94,100,4.63,CK,1675043148
156,jamestown,42.097,-79.2353,0.01,97,100,4.63,US,1675042946
157,nsanje,-16.92,35.262,23.41,94,100,1.3,MW,1675043149
158,mar del plata,-38.0023,-57.5575,21.72,78,0,8.49,AR,1675042756
159,mount gambier,-37.8333,140.7667,21.49,43,100,4.11,AU,1675043149
160,chara,56.9064,118.2631,-22.85,78,80,0.08,RU,1675043150
161,jacareacanga,-6.2222,-57.7528,22.24,99,98,0.01,BR,1675043150
162,lovozero,68.005,35.0117,-9.03,93,96,2.55,RU,1675043151
163,namatanai,-3.6667,152.4333,30.04,62,77,4.36,PG,1675043152
164,belaya gora,68.5333,146.4167,-32.65,95,100,1.75,RU,1675043152
165,dikson,73.5069,80.5464,-34.21,97,57,1.56,RU,1675043153
166,luau,-10.7073,22.2247,16.94,98,99,1.07,AO,1675043153
167,lunenburg,44.3835,-64.3155,6.03,90,100,7.72,CA,1675043141
168,grand gaube,-20.0064,57.6608,25.21,89,100,2.08,MU,1675043154
169,harper,4.375,-7.7169,25.11,86,100,2.26,LR,1675043155
